name,url,imagePaths
Solo Stove Mesa XL,https://www.amazon.com/Solo-Stove-Mesa-XL-Stainless/dp/B0BV6B3QWG/ref=sr_1_6?crid=1O0GS90Z5RG&dib=eyJ2IjoiMSJ9.MEXZUyXiUe89xPwdSwIawtEcrTPG3hsvaQK7VX6i67z5ECmvv5Xf0laumXEMVvGVLse7Fh3MWUKc7d92S5jThL2dykKPQOOU13svTcO5zMM5Q1wbqOj7sSx54IgPa_RAPiToCP9PutKG81tm0v35Jt78xJgsv2cCL9Kt87OaWAmiGSjscRhs9zbKgqdmpQ3AyPG_BTi6FxntvTz8eH5Fe-pRRR6HLykim3KzRL0hSRJSrhwsCkiCWdazlJdl0ip0BAjrKyLA9dFQzLeyL0Uf0BGDxtujVswhBU3-_0Qs9hw.XfZPbmZTKvnm03TVwb3pjq-5J1bsTbyDZ-e1s2SpnS4&dib_tag=se&keywords=Solo%2BStove%2BMesa%2BXL&qid=1744852408&sprefix=hario%2Bcold%2Bbrew%2Btea%2Caps%2C189&sr=8-6&th=1,
NASA Pullover Hoodie,https://www.amazon.com/Official-NASA-Logo-Pullover-Hoodie/dp/B07R4CC1Z9/ref=sr_1_3?crid=2WU94K6C5BM98&dib=eyJ2IjoiMSJ9.fRl4xH9YDoftOs7RYwlV7f-JVpmi3sxkQsB2_mH4R-mbh_02OUTJysEbcAk-S9dWVNyiklJWJSGwInVMmOe6wgfhsnRYUSRJaw10HtGbIede1tYNchdKZ6HfzFZSxA0gIhGVLG7uxKkxyb-41sTflL3JJ46rLlcIy_QZ_NjVJkHAcRQUAHzb8SryNoI0qoLegNf5LGk0aauZ3eHOu4t9mg_nmOGGnd-khzdSwVYebLNS9_CqOVTr54VyF7ogACiityqU_h5_9FwcTBREUP6FwV9_KzPdc7RmPk5GdStSlK0.LwarubqKo7vpRIhBesfqxAuA8h2HMBzOjo039vGM-zc&dib_tag=se&keywords=nasa%2Bpullover%2Bhoodie&qid=1744852424&sprefix=nasa%2Bpullover%2Caps%2C218&sr=8-3&customId=B078RXQC7K&customizationToken=MC_Assembly_1%23B078RXQC7K&th=1&psc=1,
Pandemic Board Game,https://www.amazon.com/Z-Man-Games-ZM7101-Pandemic/dp/B00A2HD40E/ref=sr_1_3?crid=3MYGO9NBN61DW&dib=eyJ2IjoiMSJ9.4ycvgE-8iMcnYKBMZAydlSKHzJTU1ZqcaS1oxqev--pMaRA2wfCYbYH7tGM9C-LW-I3PDF6eAfcSOswhx7oUAaBsKokZipFEHXJ3igyqdqhEPED3T13Gk72xFyP1BSSlhIMzz42smbs1Jbfpuoc-Po9sAW360xHV9vVwV0HAWg4AiowBRrfjzU4reMakYP_NS1f_JTuhSIDmYvKn61QbtfOMw6tNpTRepZrTBTnbjv0T_Y5aaFGcI5FCoEws1LWf-PVg0fJnQBINFxc6vAfLvA1aWYjFdIedUjl2opxznKg.YsAar_WNEUlfxw0VWvU1XJY8mIymmbPssjuM6BL5ayQ&dib_tag=se&keywords=pandemic+board+game&qid=1744852492&sprefix=pandemic+board+gam%2Caps%2C220&sr=8-3,
Star Labs Hoodie,https://www.amazon.com/New-York-Fashion-Police-Laboratories/dp/B01N3LR9OV/ref=sr_1_2?crid=1DFJ9HUURAVL3&dib=eyJ2IjoiMSJ9._MV57ha2Ia8_R3o_b8tQqZjuI90beg7PdrHWy9aysaaYAXXorOiZa_DukYnhQSwtFLdogh6Ntv5tSYT03uiRGXPN5UCgEcrT71hJhuYk0mruArt2PuCbXyX_EWGNwkGt4StJ1gQbAWcGJE7TmxjSlKPvvuFqjmsgRCYXxTw-n71-3zuReP8V8E66PMUw3zrNWHka6eA0EMq8uD9EjysiRKkBNkYTSvgT1SrYt8otfp5XyVsI4FjJVMysg0-xZ0pvSlIiEv3B6rPVV22iidTxqisWzl9rg2VArpZjzgyBTxQ.nj5N8jE32RC76m2saQKdiq07acYfCy5uF0_QE9Gu3Yc&dib_tag=se&keywords=star%2Blabs%2Bhoodie&qid=1744852445&sprefix=star%2Blabs%2Bhood%2Caps%2C206&sr=8-2&th=1&psc=1,
Car Magsafe,,
Breathe in and out print,https://www.goodmoodprints.io/products/breathe-2,
Prestige Wine Holder,https://prestigewine.fr/products/prestigewine-chain,
T-Rex Lego,https://www.lego.com/en-us/product/dinosaur-fossils-tyrannosaurus-rex-76968,
Ice Barrel,,
Apple Watch Band - Braided,,
Apple Watch Band - Metal,,
Apple Watch Band - White,,
Retro Gaming Console,https://retrogamesofficial.com/products/retrogamer-pro?variant=46253191266571,
SSD Drive Portable,,
48 Laws of Power,,
Hickman’s Fantastic Four,,
Shoe Dog,,
Smart scale,,
Smart water bottle,,
Smart scale for food,,
SSD for Time Machine Backup,,
Workout Oxygen Mask Smart,,
Server Rack,,
Office Chair,,
Chema Messi 2018,,
USB A to USB C for Mac,,
ON THE SHORTNESS OF LIFE - Lucius Seneca,,
Fujifilm case,https://www.amazon.com/dp/B0CW2VNGKV?psc=1&ref_=cm_sw_r_apin_ct_TJ9VQVMDFNEA6E4QHFD6&language=en-US,
Anti Theft Backpack,https://www.amazon.com/dp/B072ZXD8LD?psc=1&ref_=cm_sw_r_apin_ct_618MEA3NWKBTB2ZGVWR6&language=en-US,
Apple Watch Band Storage,https://a.co/d/697h00x,
Glasses storage,https://a.co/d/fa3Wcjl,
Belt Hanger,https://a.co/d/etrK6wl,
